Estado,i,f,e,l,s,w,h,T,R,U,E,F,A,L,S,M,X,+,-,*,/,%,),(,n,t,g,r,a,b,o,u,{,},=,!,>,<,;,&,|,c,d,j,k,m,p,q,v,x,y,z,Î,µ,0,1,2,3,4,5,6,7,8,9
33,73,73,73,73,73,73,73,73,73,49,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
34,73,73,73,73,73,73,73,73,73,73,73,73,73,50,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
35,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,51,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
36,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,52,2,2,53,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
37,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,54,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
38,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
39,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
40,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
41,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
42,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
43,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
44,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
45,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
46,2,2,55,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
47,2,2,56,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
48,2,2,2,57,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
49,73,73,73,73,73,73,73,73,73,73,58,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
50,73,73,73,73,73,73,73,73,73,73,73,73,73,73,59,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
51,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
52,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,60,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
53,2,2,2,61,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
54,2,2,2,62,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
55,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,63,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
56,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
57,2,2,64,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
